,title,author_name,book_id,url,is_ebook,is_eng,num_pages,publication_year,publication_month,publication_day,average_rating,to_read,ratings_count,text_reviews_count,author_average_rating,author_ratings_count,author_text_reviews_count
730,Inferno: A New Verse Translation,Dante Alighieri,333705,https://www.goodreads.com/book/show/333705.Inferno,0,0,336.0,1999.0,10.0,5.0,3.99,94181,60,10,4.02,245444,8093
732,"The Inferno (The Divine Comedy, #1)",Dante Alighieri,306150,https://www.goodreads.com/book/show/306150.The_Inferno,0,1,288.0,2001.0,6.0,1.0,3.99,94181,3130,210,4.02,245444,8093
733,The Divine Comedy,Dante Alighieri,17802505,https://www.goodreads.com/book/show/17802505-the-divine-comedy,0,0,576.0,2014.0,2.0,1.0,4.06,3942,14,3,4.02,245444,8093
736,The Divine Comedy,Dante Alighieri,16234590,https://www.goodreads.com/book/show/16234590-the-divine-comedy,0,1,527.0,2013.0,4.0,15.0,4.06,3942,175,44,4.02,245444,8093
737,Inferno,Dante Alighieri,13650554,https://www.goodreads.com/book/show/13650554-inferno,0,0,238.0,2011.0,10.0,1.0,3.99,94161,51,7,4.02,245444,8093
738,The Inferno of Dante,Dante Alighieri,591221,https://www.goodreads.com/book/show/591221.The_Inferno_of_Dante,0,0,384.0,1996.0,3.0,30.0,3.99,94181,590,56,4.02,245444,8093
742,Inferno,Dante Alighieri,13166697,https://www.goodreads.com/book/show/13166697-inferno,0,1,352.0,2012.0,8.0,7.0,3.99,94181,97,25,4.02,245444,8093
743,Inferno,Dante Alighieri,20407207,https://www.goodreads.com/book/show/20407207-inferno,0,1,432.0,1982.0,1.0,1.0,3.99,94181,21,4,4.02,245444,8093
745,The Divine Comedy,Dante Alighieri,6688441,https://www.goodreads.com/book/show/6688441-the-divine-comedy,0,0,0.0,2009.0,3.0,1.0,4.06,3942,16,2,4.02,245444,8093
750,"The Divine Comedy, Vol. 1: Inferno",Dante Alighieri,19155,https://www.goodreads.com/book/show/19155.The_Divine_Comedy_Vol_1,0,1,432.0,2003.0,2.0,27.0,3.99,94181,1916,139,4.02,245444,8093
751,Inferno,Dante Alighieri,19150,https://www.goodreads.com/book/show/19150.Inferno,0,0,336.0,1996.0,10.0,15.0,3.99,94181,215,28,4.02,245444,8093
756,Dante's Divine Comedy: Inferno,Dante Alighieri,28803670,https://www.goodreads.com/book/show/28803670-dante-s-divine-comedy,0,1,160.0,2015.0,9.0,15.0,3.99,94181,9,2,4.02,245444,8093
757,La Divina Commedia. Inferno,Dante Alighieri,1163633,https://www.goodreads.com/book/show/1163633.La_Divina_Commedia_Inferno,0,0,1179.0,2005.0,1.0,1.0,3.99,94181,118,12,4.02,245444,8093
760,"Dante's Inferno (The Divine Comedy, #1)",Dante Alighieri,9791723,https://www.goodreads.com/book/show/9791723-dante-s-inferno,0,1,116.0,2010.0,11.0,9.0,3.99,94161,12,1,4.02,245444,8093
764,The Divine Comedy,Dante Alighieri,2727030,https://www.goodreads.com/book/show/2727030-the-divine-comedy,0,1,305.0,2006.0,4.0,1.0,4.06,3942,37,7,4.02,245444,8093
766,La Divina Comedia,Dante Alighieri,20444123,https://www.goodreads.com/book/show/20444123-la-divina-comedia,0,0,544.0,2010.0,9.0,15.0,4.06,3942,19,2,4.02,245444,8093
770,"The Inferno (La Divina Commedia, #1)",Dante Alighieri,725418,https://www.goodreads.com/book/show/725418.The_Inferno,0,1,302.0,2003.0,9.0,1.0,3.99,94161,550,50,4.02,245444,8093
773,Purgatorio: A New Verse Translation,Dante Alighieri,204247,https://www.goodreads.com/book/show/204247.Purgatorio,0,0,400.0,2001.0,10.0,9.0,4.01,14655,59,12,4.02,245444,8093
774,Dante's Divine Comedy,Dante Alighieri,101306,https://www.goodreads.com/book/show/101306.Dante_s_Divine_Comedy,0,1,384.0,2008.0,7.0,23.0,4.06,3942,264,20,4.02,245444,8093
776,The Divine Comedy,Dante Alighieri,6473473,https://www.goodreads.com/book/show/6473473-the-divine-comedy,0,1,566.0,2009.0,2.0,5.0,4.06,3942,128,12,4.02,245444,8093
777,Inferno,Dante Alighieri,17737023,https://www.goodreads.com/book/show/17737023-inferno,0,0,240.0,2013.0,11.0,1.0,3.99,94181,37,6,4.02,245444,8093
778,Divine Comedy (Dual-Language Book),Dante Alighieri,86448,https://www.goodreads.com/book/show/86448.Divine_Comedy,0,0,256.0,2000.0,8.0,16.0,4.06,3942,11,1,4.02,245444,8093
780,Inferno (The Divine Comedy #1),Dante Alighieri,15645,https://www.goodreads.com/book/show/15645.Inferno,0,0,490.0,2003.0,12.0,9.0,3.99,94161,89429,1775,4.02,245444,8093
781,La Divina Comedia,Dante Alighieri,45664,https://www.goodreads.com/book/show/45664.La_Divina_Comedia,0,0,432.0,2004.0,9.0,28.0,4.06,3942,10,3,4.02,245444,8093
783,La Divina Comedia,Dante Alighieri,29536629,https://www.goodreads.com/book/show/29536629-la-divina-comedia,0,0,198.0,2015.0,9.0,16.0,4.06,3942,265,12,4.02,245444,8093
785,The Divine Comedy,Dante Alighieri,368751,https://www.goodreads.com/book/show/368751.The_Divine_Comedy,0,1,624.0,1977.0,11.0,17.0,4.06,3942,92,16,4.02,245444,8093
786,"Dante's Inferno (the Divine Comedy, Volume 1, Hell)",Dante Alighieri,34373,https://www.goodreads.com/book/show/34373.Dante_s_Inferno,0,0,100.0,2005.0,1.0,1.0,3.99,94161,1106,50,4.02,245444,8093
789,Dante's Inferno,Dante Alighieri,526688,https://www.goodreads.com/book/show/526688.Dante_s_Inferno,0,0,286.0,1971.0,3.0,1.0,3.99,94181,12,1,4.02,245444,8093
790,Purgatorio,Dante Alighieri,208474,https://www.goodreads.com/book/show/208474.Purgatorio,0,0,744.0,2003.0,2.0,11.0,4.01,14655,16,3,4.02,245444,8093
791,The Purgatorio,Dante Alighieri,208471,https://www.goodreads.com/book/show/208471.The_Purgatorio,0,0,352.0,2001.0,7.0,1.0,4.01,14655,169,20,4.02,245444,8093
793,The Inferno,Dante Alighieri,34376,https://www.goodreads.com/book/show/34376.The_Inferno,0,0,328.0,2004.0,10.0,31.0,3.99,94181,134,13,4.02,245444,8093
796,The Portable Dante,Dante Alighieri,1453122,https://www.goodreads.com/book/show/1453122.The_Portable_Dante,0,0,662.0,1977.0,9.0,29.0,4.22,508,16,2,4.02,245444,8093
797,The Divine Comedy of Dante Alighieri (Volume 1: Inferno),Dante Alighieri,106720,https://www.goodreads.com/book/show/106720.The_Divine_Comedy_of_Dante_Alighieri,0,0,672.0,1996.0,2.0,29.0,3.99,94181,114,7,4.02,245444,8093
798,"The Descent into Hell (Penguin Epics, #18)",Dante Alighieri,372394,https://www.goodreads.com/book/show/372394.The_Descent_into_Hell,0,1,144.0,2006.0,5.0,4.0,3.52,60,27,3,4.02,245444,8093
803,Boska komedia,Dante Alighieri,4268121,https://www.goodreads.com/book/show/4268121-boska-komedia,0,0,656.0,1959.0,1.0,1.0,4.06,3942,80,3,4.02,245444,8093
806,Inferno: A New Translation,Dante Alighieri,17287055,https://www.goodreads.com/book/show/17287055-inferno,0,0,352.0,2013.0,9.0,3.0,3.99,94181,35,4,4.02,245444,8093
809,The Divine Comedy II: Purgatory,Dante Alighieri,32810,https://www.goodreads.com/book/show/32810.The_Divine_Comedy_II,0,1,388.0,1981.0,8.0,30.0,4.01,14655,298,27,4.02,245444,8093
815,Inferno,Dante Alighieri,679381,https://www.goodreads.com/book/show/679381.Inferno,0,0,396.0,1982.0,1.0,1.0,3.99,94181,65,8,4.02,245444,8093
816,The Divine Comedy,Dante Alighieri,31455205,https://www.goodreads.com/book/show/31455205-the-divine-comedy,0,1,712.0,2016.0,6.0,1.0,4.06,3942,8,1,4.02,245444,8093
817,"The Inferno of Dante: A New Verse Translation, Bilingual Edition",Dante Alighieri,897489,https://www.goodreads.com/book/show/897489.The_Inferno_of_Dante,0,0,360.0,1994.0,12.0,31.0,3.99,94181,39,7,4.02,245444,8093
818,The Divine Comedy,Dante Alighieri,32811,https://www.goodreads.com/book/show/32811.The_Divine_Comedy,0,1,735.0,1998.0,6.0,18.0,4.06,3942,160,10,4.02,245444,8093
820,Inferno: A New Verse Translation,Dante Alighieri,2591046,https://www.goodreads.com/book/show/2591046-inferno,0,0,314.0,1999.0,6.0,7.0,3.99,94181,27,6,4.02,245444,8093
821,Inferno,Dante Alighieri,17465784,https://www.goodreads.com/book/show/17465784-inferno,0,0,208.0,2013.0,6.0,11.0,3.99,94181,60,3,4.02,245444,8093
823,"Inferno (The Divine Comedy, #1)",Dante Alighieri,481201,https://www.goodreads.com/book/show/481201.Inferno,0,0,560.0,2006.0,3.0,30.0,3.99,94181,218,24,4.02,245444,8093
824,"Purgatorio (The Divine Comedy, #2)",Dante Alighieri,481200,https://www.goodreads.com/book/show/481200.Purgatorio,0,0,592.0,2007.0,6.0,28.0,4.01,14659,98,13,4.02,245444,8093
825,The Divine Comedy Part 1: Inferno,Dante Alighieri,19148,https://www.goodreads.com/book/show/19148.The_Divine_Comedy_Part_1,0,0,432.0,1984.0,11.0,28.0,3.99,94181,273,14,4.02,245444,8093
826,Purgatory,Dante Alighieri,224214,https://www.goodreads.com/book/show/224214.Purgatory,0,0,497.0,2004.0,3.0,9.0,4.01,14659,162,19,4.02,245444,8093
833,The Divine Comedy,Dante Alighieri,15808636,https://www.goodreads.com/book/show/15808636-the-divine-comedy,0,1,752.0,2013.0,2.0,26.0,4.06,3942,89,9,4.02,245444,8093
838,Divine Comedy,Dante Alighieri,561736,https://www.goodreads.com/book/show/561736.Divine_Comedy,0,0,200.0,2008.0,1.0,11.0,3.99,94181,15,2,4.02,245444,8093
840,The Inferno: The Longfellow Translation,Dante Alighieri,175251,https://www.goodreads.com/book/show/175251.The_Inferno,0,1,302.0,2005.0,1.0,6.0,3.99,94208,150,13,4.02,245444,8093
846,Inferno,Dante Alighieri,34390,https://www.goodreads.com/book/show/34390.Inferno,0,0,395.0,1982.0,1.0,1.0,3.99,94181,251,28,4.02,245444,8093
847,"Inferno (The Divine Comedy, #1)",Dante Alighieri,17573227,https://www.goodreads.com/book/show/17573227-inferno,0,1,211.0,2013.0,4.0,4.0,3.99,94208,180,14,4.02,245444,8093
848,The Inferno,Dante Alighieri,723016,https://www.goodreads.com/book/show/723016.The_Inferno,0,0,672.0,2000.0,12.0,26.0,3.99,94208,102,15,4.02,245444,8093
852,The Divine Comedy,Dante Alighieri,16655232,https://www.goodreads.com/book/show/16655232-the-divine-comedy,0,0,384.0,2013.0,9.0,1.0,4.06,3942,28,4,4.02,245444,8093
853,Inferno,Dante Alighieri,2040383,https://www.goodreads.com/book/show/2040383.Inferno,0,1,208.0,2008.0,5.0,28.0,3.99,94181,84,11,4.02,245444,8093
854,The Divine Comedy: Volume 2: Purgatorio,Dante Alighieri,150026,https://www.goodreads.com/book/show/150026.The_Divine_Comedy,0,1,448.0,1961.0,12.0,31.0,4.01,14659,113,6,4.02,245444,8093
855,The Divine Comedy: Volume 1: Inferno,Dante Alighieri,150027,https://www.goodreads.com/book/show/150027.The_Divine_Comedy,0,1,432.0,1961.0,12.0,1.0,3.99,94181,213,21,4.02,245444,8093
856,"Inferno (The Divine Comedy, #1)",Dante Alighieri,8563674,https://www.goodreads.com/book/show/8563674-inferno,0,0,462.0,2010.0,11.0,25.0,3.99,94181,187,17,4.02,245444,8093
866,The Exeter Book Riddles,Anonymous,677952,https://www.goodreads.com/book/show/677952.The_Exeter_Book_Riddles,0,0,144.0,1993.0,11.0,2.0,3.82,104,41,5,4.15,1070234,55952
867,The Rig Veda: An Anthology of One Hundred Eight Hymns,Anonymous,486085,https://www.goodreads.com/book/show/486085.The_Rig_Veda,0,1,352.0,1982.0,1.0,28.0,3.92,172,29,2,4.15,1070234,55952
868,Bhagavad Gita,Anonymous,8805803,https://www.goodreads.com/book/show/8805803-bhagavad-gita,1,0,297.0,2007.0,5.0,17.0,4.1,46696,176,19,4.15,1070234,55952
873,The Elder Edda: A Book of Viking Lore,Anonymous,1388192,https://www.goodreads.com/book/show/1388192.The_Elder_Edda,0,1,432.0,2011.0,4.0,7.0,4.25,7323,85,12,4.15,1070234,55952
874,The Epic of Gilgamesh,Anonymous,595591,https://www.goodreads.com/book/show/595591.The_Epic_of_Gilgamesh,0,0,160.0,1989.0,9.0,1.0,3.64,32273,16,5,4.15,1070234,55952
875,Mahabharata,Anonymous,1785216,https://www.goodreads.com/book/show/1785216.Mahabharata,0,0,249.0,1987.0,10.0,1.0,4.29,9202,338,10,4.15,1070234,55952
876,The Epic of Gilgamesh,Anonymous,617495,https://www.goodreads.com/book/show/617495.The_Epic_of_Gilgamesh,0,1,304.0,2003.0,1.0,30.0,3.63,32257,2848,200,4.15,1070234,55952
881,ghIlghameS,Anonymous,511985,https://www.goodreads.com/book/show/511985.ghIlghameS,0,0,148.0,2000.0,12.0,1.0,3.63,32273,11,3,4.15,1070234,55952
884,The Bhagavadgita in the Mahabharata,Anonymous,118257,https://www.goodreads.com/book/show/118257.The_Bhagavadgita_in_the_Mahabharata,0,0,183.0,1981.0,9.0,15.0,4.1,46672,91,5,4.15,1070234,55952
888,Bhagavad-Gita,Anonymous,781445,https://www.goodreads.com/book/show/781445.Bhagavad_Gita,0,1,329.0,2015.0,9.0,11.0,4.1,46696,52,3,4.15,1070234,55952
891,The Poetic Edda,Anonymous,20702568,https://www.goodreads.com/book/show/20702568-the-poetic-edda,0,0,240.0,2014.0,11.0,18.0,4.25,7323,16,3,4.15,1070234,55952
892,Gilgamesh,Anonymous,18412150,https://www.goodreads.com/book/show/18412150-gilgamesh,1,0,320.0,2011.0,1.0,1.0,3.63,32257,21,3,4.15,1070234,55952
895,The Táin,Anonymous,2150160,https://www.goodreads.com/book/show/2150160.The_T_in,0,1,223.0,2007.0,10.0,25.0,3.97,2901,74,13,4.15,1070234,55952
906,Gilgamesh: A Verse Narrative,Anonymous,1208339,https://www.goodreads.com/book/show/1208339.Gilgamesh,0,1,144.0,1970.0,4.0,1.0,3.64,32273,133,11,4.15,1070234,55952
907,The Epic of Gilgamesh: A New Translation,Anonymous,1760436,https://www.goodreads.com/book/show/1760436.The_Epic_of_Gilgamesh,0,1,288.0,2000.0,9.0,1.0,3.64,32273,103,13,4.15,1070234,55952
908,The Epic of Gilgamesh: An English Verison with an Introduction,Anonymous,7840752,https://www.goodreads.com/book/show/7840752-the-epic-of-gilgamesh,0,0,128.0,1960.0,12.0,30.0,3.64,32273,88,17,4.15,1070234,55952
910,The Táin: from the Irish epic Táin Bó Cuailnge,Anonymous,6517076,https://www.goodreads.com/book/show/6517076-the-t-in,0,0,320.0,1970.0,10.0,15.0,3.97,2904,17,2,4.15,1070234,55952
912,An Old Babylonian Version Of The Gilgamesh Epic,Anonymous,7120281,https://www.goodreads.com/book/show/7120281-an-old-babylonian-version-of-the-gilgamesh-epic,0,0,146.0,2009.0,3.0,13.0,3.63,32257,6,1,4.15,1070234,55952
913,Gilgamesh: An Old Babylonian Version,Anonymous,7120289,https://www.goodreads.com/book/show/7120289-gilgamesh,0,0,106.0,2009.0,10.0,15.0,3.63,32257,3,1,4.15,1070234,55952
916,Everyman and Other Miracle and Morality Plays,Anonymous,449173,https://www.goodreads.com/book/show/449173.Everyman_and_Other_Miracle_and_Morality_Plays,0,1,96.0,1995.0,10.0,24.0,3.29,315,640,27,4.15,1070234,55952
917,Eddan,Anonymous,16169006,https://www.goodreads.com/book/show/16169006-eddan,0,0,320.0,1998.0,8.0,1.0,4.25,7318,10,1,4.15,1070234,55952
920,Bhagavad-Gita,Anonymous,496915,https://www.goodreads.com/book/show/496915.Bhagavad_Gita,0,0,92.0,2005.0,1.0,1.0,4.1,46696,6,2,4.15,1070234,55952
922,The Táin,Anonymous,6065768,https://www.goodreads.com/book/show/6065768-the-t-in,0,1,256.0,2008.0,10.0,2.0,3.97,2901,198,24,4.15,1070234,55952
923,The Poetic Edda,Anonymous,66443,https://www.goodreads.com/book/show/66443.The_Poetic_Edda,0,1,323.0,1999.0,6.0,10.0,4.25,7318,269,20,4.15,1070234,55952
924,Bhagavad Gita,Anonymous,17745483,https://www.goodreads.com/book/show/17745483-bhagavad-gita,1,0,368.0,2007.0,6.0,1.0,4.1,46696,6,2,4.15,1070234,55952
926,The Mahabharata,Anonymous,6367153,https://www.goodreads.com/book/show/6367153-the-mahabharata,0,1,912.0,2009.0,5.0,28.0,4.29,9204,299,15,4.15,1070234,55952
928,Gilgamesh,Anonymous,11418130,https://www.goodreads.com/book/show/11418130-gilgamesh,1,1,304.0,2010.0,5.0,11.0,3.64,32273,43,7,4.15,1070234,55952
930,L'Épopée de Gilgameš,Anonymous,2552961,https://www.goodreads.com/book/show/2552961.L_pop_e_de_Gilgame_,0,0,295.0,1992.0,10.0,23.0,3.64,32273,35,5,4.15,1070234,55952
933,The Bhagavad Gita,Anonymous,463500,https://www.goodreads.com/book/show/463500.The_Bhagavad_Gita,0,1,288.0,2008.0,8.0,28.0,4.1,46696,212,19,4.15,1070234,55952
935,Gilgamesh and Enkidu,Anonymous,813756,https://www.goodreads.com/book/show/813756.Gilgamesh_and_Enkidu,0,1,56.0,1995.0,8.0,1.0,3.63,32273,46,6,4.15,1070234,55952
936,The Book of Dede Korkut,Anonymous,103093,https://www.goodreads.com/book/show/103093.The_Book_of_Dede_Korkut,0,0,224.0,1974.0,5.0,30.0,3.8,126,118,9,4.15,1070234,55952
938,The Book of Job,Anonymous,82241,https://www.goodreads.com/book/show/82241.The_Book_of_Job,0,0,176.0,1992.0,6.0,26.0,3.98,93,1049,90,4.15,1070234,55952
940,The Bhagavad Gita,Anonymous,370977,https://www.goodreads.com/book/show/370977.The_Bhagavad_Gita,0,0,95.0,2005.0,9.0,1.0,4.1,46696,52,5,4.15,1070234,55952
941,Poems of Heaven and Hell from Ancient Mesopotamia,Anonymous,64277,https://www.goodreads.com/book/show/64277.Poems_of_Heaven_and_Hell_from_Ancient_Mesopotamia,0,1,184.0,1971.0,1.0,27.0,3.75,85,47,10,4.15,1070234,55952
942,Sagas of Warrior-poets,Anonymous,297065,https://www.goodreads.com/book/show/297065.Sagas_of_Warrior_poets,0,1,400.0,2002.0,8.0,29.0,3.91,58,53,4,4.15,1070234,55952
947,The Epic of Gilgamesh,Anonymous,8141443,https://www.goodreads.com/book/show/8141443-the-epic-of-gilgamesh,1,1,128.0,1973.0,10.0,25.0,3.64,32273,354,33,4.15,1070234,55952
949,Le Récit de Gilgamesh,Anonymous,17205390,https://www.goodreads.com/book/show/17205390-le-r-cit-de-gilgamesh,0,0,140.0,2010.0,5.0,25.0,3.63,32273,4,2,4.15,1070234,55952
951,"Greek Lyric, Volume V: The New School of Poetry and Anonymous Songs and Hymns",Anonymous,551640,https://www.goodreads.com/book/show/551640.Greek_Lyric_Volume_V,0,0,5.0,1993.0,1.0,1.0,4.0,11,8,2,4.15,1070234,55952
953,"The Epic of Gilgamesh: A New Translation, Analogues, Criticism",Anonymous,138375,https://www.goodreads.com/book/show/138375.The_Epic_of_Gilgamesh,0,1,256.0,2001.0,4.0,23.0,3.64,32273,305,15,4.15,1070234,55952
955,Gilgamesh: A New Rendering in English Verse,Anonymous,138373,https://www.goodreads.com/book/show/138373.Gilgamesh,0,1,99.0,1993.0,6.0,1.0,3.64,32273,455,80,4.15,1070234,55952
966,Tales of Ise: Lyrical Episodes from Tenth-Century Japan,Anonymous,189038,https://www.goodreads.com/book/show/189038.Tales_of_Ise,0,0,277.0,1968.0,6.0,1.0,3.69,132,22,3,4.15,1070234,55952
969,The Song of Songs: A New Translation,Anonymous,161256,https://www.goodreads.com/book/show/161256.The_Song_of_Songs,0,0,263.0,2000.0,11.0,10.0,4.21,289,148,22,4.15,1070234,55952
971,غزل غزلهای سلیمان,Anonymous,4737546,https://www.goodreads.com/book/show/4737546,0,0,33.0,1968.0,3.0,7.0,4.21,289,15,3,4.15,1070234,55952
972,The Book of Job,Anonymous,33897,https://www.goodreads.com/book/show/33897.The_Book_of_Job,0,0,96.0,1999.0,10.0,29.0,3.98,93,328,8,4.15,1070234,55952
975,The Tain,Anonymous,410808,https://www.goodreads.com/book/show/410808.The_Tain,0,1,282.0,1975.0,1.0,1.0,3.97,2904,315,24,4.15,1070234,55952
982,The Tain,Anonymous,338573,https://www.goodreads.com/book/show/338573.The_Tain,0,0,304.0,1986.0,2.0,1.0,3.97,2904,14,2,4.15,1070234,55952
983,The Wisdom of Solomon (Pocket Canons),Anonymous,1213258,https://www.goodreads.com/book/show/1213258.The_Wisdom_of_Solomon,0,1,44.0,2011.0,3.0,24.0,3.75,6,15,4,4.15,1070234,55952
984,The Epic of Gilgamesh,Anonymous,19351,https://www.goodreads.com/book/show/19351.The_Epic_of_Gilgamesh,0,1,120.0,2006.0,5.0,4.0,3.64,32273,45594,1083,4.15,1070234,55952
985,The Epic of Gilgamesh,Anonymous,19350,https://www.goodreads.com/book/show/19350.The_Epic_of_Gilgamesh,0,1,127.0,1976.0,6.0,1.0,3.64,32273,37,6,4.15,1070234,55952
986,"The Babylonian Gilgamesh Epic: Introduction, Critical Edition and Cuneiform Texts 2 Volumes",Anonymous,19356,https://www.goodreads.com/book/show/19356.The_Babylonian_Gilgamesh_Epic,0,0,1178.0,2003.0,9.0,25.0,3.64,32273,35,9,4.15,1070234,55952
988,"The Wanderer: Elegies, Epics, Riddles",Anonymous,17739455,https://www.goodreads.com/book/show/17739455-the-wanderer,0,1,177.0,2013.0,11.0,7.0,3.96,24,64,8,4.15,1070234,55952
989,The Elder Edda,Anonymous,17739458,https://www.goodreads.com/book/show/17739458-the-elder-edda,0,0,432.0,2013.0,11.0,7.0,4.25,7323,109,15,4.15,1070234,55952
990,The Bhagavad Gita,Anonymous,6520987,https://www.goodreads.com/book/show/6520987-the-bhagavad-gita,0,1,95.0,2009.0,9.0,1.0,4.1,46709,120,8,4.15,1070234,55952
997,The Book of Psalms,Anonymous,143493,https://www.goodreads.com/book/show/143493.The_Book_of_Psalms,0,0,144.0,1993.0,5.0,4.0,4.26,369,32,6,4.15,1070234,55952
1002,"The Book of Job (Pocket Canons, #3)",Anonymous,381231,https://www.goodreads.com/book/show/381231.The_Book_of_Job,0,1,80.0,1998.0,10.0,24.0,3.98,93,11,2,4.15,1070234,55952
1005,The Táin: From the Irish epic Táin Bó Cúailnge,Anonymous,75586,https://www.goodreads.com/book/show/75586.The_T_in,0,1,320.0,2002.0,11.0,21.0,3.97,2904,1986,84,4.15,1070234,55952
1006,Vikings Bók: The Poetic Edda,Anonymous,22142158,https://www.goodreads.com/book/show/22142158-vikings-b-k,0,0,140.0,2014.0,4.0,23.0,4.25,7323,11,3,4.15,1070234,55952
1013,The Poetic Edda: The Mythological Poems,Anonymous,80582,https://www.goodreads.com/book/show/80582.The_Poetic_Edda,0,0,288.0,2004.0,7.0,19.0,4.34,650,535,24,4.15,1070234,55952
1018,"Ecclesiastes, or The Preacher",Anonymous,535430,https://www.goodreads.com/book/show/535430.Ecclesiastes_or_The_Preacher,0,1,64.0,1999.0,10.0,29.0,4.52,78,224,31,4.15,1070234,55952
1020,The Tales of Ise,Anonymous,25938375,https://www.goodreads.com/book/show/25938375-the-tales-of-ise,0,0,416.0,2016.0,9.0,1.0,3.69,132,13,2,4.15,1070234,55952
1023,The Bhagavad Gita,Anonymous,531139,https://www.goodreads.com/book/show/531139.The_Bhagavad_Gita,0,1,122.0,1982.0,5.0,1.0,4.1,46709,131,4,4.15,1070234,55952
1027,The Psalms: ESV,Anonymous,18955453,https://www.goodreads.com/book/show/18955453-the-psalms,0,1,384.0,2014.0,6.0,30.0,4.82,25,29,8,4.15,1070234,55952
1029,Koheleth: The Man and His World: A Study of Ecclesiastes,Anonymous,571883,https://www.goodreads.com/book/show/571883.Koheleth,0,1,431.0,1987.0,1.0,1.0,4.52,78,10,2,4.15,1070234,55952
1030,Bhagavad Gita: A New Translation,Anonymous,99945,https://www.goodreads.com/book/show/99945.Bhagavad_Gita,0,0,224.0,2002.0,8.0,27.0,4.1,46723,965,105,4.15,1070234,55952
1031,The Bhagavad Gita,Anonymous,99942,https://www.goodreads.com/book/show/99942.The_Bhagavad_Gita,0,1,123.0,2000.0,4.0,25.0,4.1,46723,171,13,4.15,1070234,55952
1032,Everyman and Other Medieval Miracle and Morality Plays,Anonymous,6577154,https://www.goodreads.com/book/show/6577154-everyman-and-other-medieval-miracle-and-morality-plays,0,0,212.0,2008.0,1.0,1.0,3.29,315,7,1,4.15,1070234,55952
1034,what it means to be avant-garde,David Antin,269677,https://www.goodreads.com/book/show/269677.what_it_means_to_be_avant_garde,0,1,207.0,1993.0,6.0,1.0,4.47,61,43,5,4.15,803,35
1035,The Zephyrs of Najd: The Poetics of Nostalgia in The Classical Arabic Nasib,Jaroslav Stetkevych,1828412,https://www.goodreads.com/book/show/1828412.The_Zephyrs_of_Najd,0,0,333.0,1993.0,12.0,15.0,4.5,14,8,2,3.9,52,14
1037,The History of Violets,Marosa Di Giorgio,10092530,https://www.goodreads.com/book/show/10092530-the-history-of-violets,0,1,88.0,2010.0,4.0,1.0,4.4,49,42,7,4.42,161,20
1040,Yerma,Federico Garcia Lorca,27625946,https://www.goodreads.com/book/show/27625946-yerma,0,0,40.0,2015.0,1.0,11.0,3.81,1072,1,1,3.98,51036,2144
1050,Blood Wedding,Federico Garcia Lorca,818734,https://www.goodreads.com/book/show/818734.Blood_Wedding,0,1,72.0,1996.0,9.0,23.0,3.81,2406,536,30,3.98,51036,2144
1052,Selected Poems,Federico Garcia Lorca,17574850,https://www.goodreads.com/book/show/17574850-selected-poems,0,0,216.0,2013.0,6.0,12.0,4.32,408,18,3,3.98,51036,2144
1059,Yerma,Federico Garcia Lorca,77920,https://www.goodreads.com/book/show/77920.Yerma,0,0,208.0,2007.0,2.0,20.0,3.81,1072,2865,106,3.98,51036,2144
1060,Ματωμένος γάμος,Federico Garcia Lorca,18585936,https://www.goodreads.com/book/show/18585936,0,0,255.0,1990.0,1.0,1.0,3.81,2406,2,1,3.98,51036,2144
1062,Season in Granada,Federico Garcia Lorca,128906,https://www.goodreads.com/book/show/128906.Season_in_Granada,0,0,128.0,2004.0,6.0,1.0,3.88,67,46,2,3.98,51036,2144
1067,Selected Poems,Federico Garcia Lorca,575667,https://www.goodreads.com/book/show/575667.Selected_Poems,0,1,368.0,2001.0,12.0,6.0,4.32,408,63,2,3.98,51036,2144
1069,Poet in New York,Federico Garcia Lorca,953562,https://www.goodreads.com/book/show/953562.Poet_in_New_York,0,0,352.0,1998.0,6.0,24.0,4.19,291,1655,64,3.98,51036,2144
1072,Romancero Gitano,Federico Garcia Lorca,773161,https://www.goodreads.com/book/show/773161.Romancero_Gitano,0,0,144.0,1996.0,3.0,1.0,4.18,570,51,4,3.98,51036,2144
1073,Gypsy Ballads,Federico Garcia Lorca,782581,https://www.goodreads.com/book/show/782581.Gypsy_Ballads,0,0,161.0,1990.0,1.0,1.0,4.18,572,77,4,3.98,51036,2144
1075,Federico Garcia Lorca: Selected Poems,Federico Garcia Lorca,1293829,https://www.goodreads.com/book/show/1293829.Federico_Garcia_Lorca,0,0,240.0,1992.0,1.0,1.0,4.32,408,235,9,3.98,51036,2144
1077,Poem of the Deep Song,Federico Garcia Lorca,818748,https://www.goodreads.com/book/show/818748.Poem_of_the_Deep_Song,0,0,143.0,2006.0,10.0,1.0,4.21,202,325,16,3.98,51036,2144
1081,Deep Song And Other Prose,Federico Garcia Lorca,1555316,https://www.goodreads.com/book/show/1555316.Deep_Song_And_Other_Prose,0,1,143.0,1991.0,1.0,1.0,4.12,12,12,1,3.98,51036,2144
1085,In Search of Duende,Federico Garcia Lorca,31580,https://www.goodreads.com/book/show/31580.In_Search_of_Duende,0,1,99.0,1998.0,4.0,17.0,4.3,110,546,35,3.98,51036,2144
